HGNC ID	NCBI gene ID
HGNC:8794	8622
HGNC:8800	5155
HGNC:8803	5156
HGNC:8804	5159
HGNC:8809	5163
HGNC:8816	5170
HGNC:882	545
HGNC:8820	5173
HGNC:8845	5187
HGNC:886	546
HGNC:8910	5241
HGNC:8919	5252
HGNC:8972	5287
HGNC:8973	5288
HGNC:8974	5289
HGNC:8975	5290
HGNC:8976	5291
HGNC:8977	5293
HGNC:8978	5294
HGNC:8979	5295
HGNC:8980	5296
HGNC:8981	8503
HGNC:8986	5292
HGNC:903	8312
HGNC:904	8313
HGNC:9042	22925
HGNC:9045	5324
HGNC:905	558
HGNC:9065	5335
HGNC:9066	5336
HGNC:9107	23129
HGNC:9108	5366
HGNC:9113	5371
HGNC:9121	5378
HGNC:9122	5395
HGNC:914	567
HGNC:9142	5396
HGNC:9143	8929
HGNC:9164	5413
HGNC:9175	5424
HGNC:9177	5426
HGNC:9179	5428
HGNC:9181	5429
HGNC:9186	10721
HGNC:9211	5450
HGNC:9221	5460
HGNC:9236	5468
HGNC:9249	8496
HGNC:9253	5478
HGNC:9277	8493
HGNC:9302	5518
HGNC:9304	5520
HGNC:9314	5530
HGNC:9323	5537
HGNC:9343	5546
HGNC:9346	639
HGNC:9347	7799
HGNC:9360	5551
HGNC:9380	5566
HGNC:9381	5567
HGNC:9388	5573
HGNC:9391	5576
HGNC:9393	5578
HGNC:9395	5579
HGNC:9398	10215
HGNC:9401	5581
HGNC:9404	5584
HGNC:9405	5585
HGNC:9413	5591
HGNC:9491	5652
HGNC:950	8314
HGNC:952	580
HGNC:9527	11168
HGNC:9585	5727
HGNC:9588	5728
HGNC:959	581
HGNC:960	11177
HGNC:9601	5738
HGNC:9617	5753
HGNC:9644	5781
HGNC:9646	5783
HGNC:9658	5777
HGNC:9662	140885
HGNC:9665	5787
HGNC:9666	5788
HGNC:9668	5789
HGNC:9674	5796
HGNC:9678	5800
HGNC:9681	5802
HGNC:9682	11122
HGNC:9683	10076
HGNC:9774	11021
HGNC:9801	5879
HGNC:9802	5880
HGNC:9807	5884
HGNC:9811	5885
HGNC:9816	10111
HGNC:9817	5888
HGNC:9820	5889
HGNC:9822	5890
HGNC:9823	5892
HGNC:9824	5893
HGNC:9826	8438
HGNC:9829	5894
HGNC:9842	5900
HGNC:9848	5903
HGNC:9859	5910
HGNC:9864	5914
HGNC:9871	5921
HGNC:9884	5925
HGNC:9886	5927
HGNC:989	8915
HGNC:9893	5933
HGNC:9894	5934
HGNC:9896	8241
HGNC:99	40
HGNC:990	596
HGNC:9907	5937
HGNC:992	598
HGNC:994	10018
HGNC:9949	9401
HGNC:995	599
HGNC:9954	5966
HGNC:9955	5970
HGNC:9966	5978
HGNC:9967	5979
HGNC:9975	5987
HGNC:998	602
